노선,시간,주중 평균배차시간,노선운행시간,시간별 포화도,왕복운행대수,증차운행대수,증차대수,증차후배차시간,증차후예상포화도,감차대상시간,감차대상포화도,감차운행대수,감차후배차시간,감차후예상포화도
  1(광명),08시~09시,8.5,108,125.0,25.41,33.03,7.620000000000001,6.54,96.2,11시~12시,61.0,17.79,12.14,86.85
  1(광명),18시~19시,8.5,108,135.0,25.41,33.03,7.620000000000001,6.54,103.77,21시~22시,56.99999999999999,17.79,12.14,81.51
  1(광명),17시~18시,8.5,108,119.0,25.41,33.03,7.620000000000001,6.54,91.73,12시~13시,68.0,17.79,12.14,96.96
  1(광명),16시~17시,8.5,108,102.0,25.41,28.78,3.370000000000001,7.51,89.99,13시~14시,69.0,22.04,9.8,79.29
  1(광명),07시~08시,8.5,108,151.0,25.41,33.03,7.620000000000001,6.54,116.03,10시~11시,56.00000000000001,17.79,12.14,79.96
  11,08시~09시,32.5,65,164.0,4.0,5.2,1.2000000000000002,25.0,125.96,12시~13시,36.0,2.8,46.43,50.89
  11,07시~08시,32.5,65,108.0,4.0,4.81,0.8099999999999996,27.03,89.92,11시~12시,37.0,3.1900000000000004,40.75,46.24
  11-3,07시~08시,37.5,63,115.0,3.36,4.28,0.9200000000000004,29.44,89.95,10시~11시,25.0,2.4399999999999995,51.64,33.81
  11-3,17시~18시,37.5,63,108.0,3.36,4.03,0.6700000000000004,31.27,89.95,11시~12시,35.0,2.6899999999999995,46.84,43.68
  12,18시~19시,15.0,67,120.0,8.93,11.61,2.6799999999999997,11.54,92.16,10시~11시,47.0,6.25,21.44,67.6
  12,17시~18시,15.0,67,112.0,8.93,11.11,2.1799999999999997,12.06,90.01,13시~14시,50.0,6.75,19.85,66.3
  12,07시~08시,15.0,67,144.0,8.93,11.61,2.6799999999999997,11.54,110.9,12시~13시,47.0,6.25,21.44,67.2
  12,08시~09시,15.0,67,164.0,8.93,11.61,2.6799999999999997,11.54,125.97,11시~12시,46.0,6.25,21.44,66.4
  2(광명),08시~09시,8.0,90,157.0,22.5,29.25,6.75,6.15,120.43,11시~12시,55.00000000000001,15.75,11.43,78.57
  2(광명),18시~19시,8.0,90,115.0,22.5,28.83,6.329999999999998,6.24,90.01,13시~14시,59.0,16.17,11.13,81.63
  2(광명),07시~08시,8.0,90,119.0,22.5,29.25,6.75,6.15,91.71,10시~11시,56.99999999999999,15.75,11.43,81.9
  2(광명),17시~18시,8.0,90,102.0,22.5,25.56,3.0599999999999987,7.04,89.98,21시~22시,62.0,19.44,9.26,71.37
  20,08시~09시,70.0,40,101.0,1.71,1.92,0.20999999999999996,62.5,89.84,21시~22시,6.0,1.5,80.0,6.67
  20-1,19시~20시,15.0,78,116.0,10.4,13.42,3.0199999999999996,11.62,89.98,09시~10시,45.0,7.380000000000001,21.14,63.35
  20-1,06시~07시,15.0,78,106.0,10.4,12.19,1.7899999999999991,12.8,90.03,21시~22시,50.0,8.610000000000001,18.12,59.81
  20-1,07시~08시,15.0,78,183.0,10.4,13.52,3.119999999999999,11.54,140.72,10시~11시,33.0,7.280000000000001,21.43,47.39
  20-1,16시~17시,15.0,78,100.0,10.4,11.5,1.0999999999999996,13.57,90.0,14시~15시,53.0,9.3,16.77,59.14
  20-1,17시~18시,15.0,78,143.0,10.4,13.52,3.119999999999999,11.54,109.84,12시~13시,41.0,7.280000000000001,21.43,58.04
  20-1,08시~09시,15.0,78,146.0,10.4,13.52,3.119999999999999,11.54,112.43,11시~12시,37.0,7.280000000000001,21.43,52.88
  20-1,18시~19시,15.0,78,142.0,10.4,13.52,3.119999999999999,11.54,109.28,13시~14시,43.0,7.280000000000001,21.43,61.47
  23,08시~09시,12.5,99,157.0,15.84,20.59,4.75,9.62,120.57,11시~12시,69.0,11.09,17.85,99.19
  23,07시~08시,12.5,99,149.0,15.84,20.59,4.75,9.62,114.62,20시~21시,72.0,11.09,17.85,102.34
  23,16시~17시,12.5,99,119.0,15.84,20.59,4.75,9.62,91.91,12시~13시,81.0,11.09,17.85,116.1
  23,19시~20시,12.5,99,112.0,15.84,19.72,3.879999999999999,10.04,90.01,13시~14시,84.0,11.96,16.56,111.83
  23,17시~18시,12.5,99,141.0,15.84,20.59,4.75,9.62,108.67,10시~11시,73.0,11.09,17.85,103.7
  23,15시~16시,12.5,99,101.0,15.84,17.69,1.8500000000000014,11.19,90.02,14시~15시,92.0,13.989999999999998,14.15,104.18
  23,18시~19시,12.5,99,169.0,15.84,20.59,4.75,9.62,130.16,21시~22시,53.0,11.09,17.85,75.07
  23-2,18시~19시,8.5,69,121.0,16.24,21.11,4.870000000000001,6.54,93.44,11시~12시,61.0,11.369999999999997,12.14,87.29
  23-2,08시~09시,8.5,69,131.0,16.24,21.11,4.870000000000001,6.54,100.78,10시~11시,54.0,11.369999999999997,12.14,77.18
  23-2,07시~08시,8.5,69,108.0,16.24,19.53,3.2900000000000027,7.07,89.99,21시~22시,66.0,12.949999999999996,10.66,82.82
  23-2,16시~17시,8.5,69,101.0,16.24,18.14,1.9000000000000021,7.61,89.99,20시~21시,72.0,14.339999999999996,9.62,81.42
  25,07시~08시,50.0,32,102.0,2.4,2.72,0.3200000000000003,44.12,90.07,10시~11시,10.0,2.0799999999999996,57.69,12.02
  32,18시~19시,25.0,86,100.0,6.88,7.64,0.7599999999999998,22.51,89.99,12시~13시,40.0,6.12,28.1,45.34
  32,08시~09시,25.0,86,112.0,6.88,8.56,1.6800000000000006,20.09,89.95,11시~12시,40.0,5.199999999999999,33.08,52.4
