순번,STATION_NM,GPS_X,GPS_Y,MAP_X,MAP_Y,STATION_ID,MOBILE_NO
13220,범고개,12652.587,3724.117,189050.99027,433630.18026,224000001 ,25640
13221,정왕고,12643.664,3721.048,175879.20514,427982.50637,224000002 ,25102
13228,주공2단지,12643.744,3721.132,176000.18339,428139.01791,224000003,25116
13233,주공3단지입구,12643.829,3721.221,176126.1798,428301.01858,224000004,25128
13240,건영2단지,12643.82,3721.451,176108.17323,428726.01481,224000005,25126
31412,부성아파트,12644.007,3721.644,176394.16521,429086.01638,224000006,25148
29394,오이도입구,12642.111,3720.782,173584.54691,427498.34975,224000007,25028
29243,배곧고등학교.배곧도서관,12644.021,3722.45,176414.07474,430574.57643,224000008,25061
29396,배곧고등학교.배곧도서관,12643.986,3722.456,176362.09002,430586.59605,224000009,25758
27447,정왕사회복지관.여성비전센터,12644.478,3720.846,177081.13851,427605.93983,224000010,25195
27530,은계우미린더퍼스트.제일풍경채,12648.269,3726.436,182701.00389,437933.04126,224000011,25841
27531,경기스마트고등학교,12645.122,3720.666,178031.03469,427270.51394,224000012,25243
32555,군서초등학교,12645.212,3720.759,178164.96325,427441.51436,224000013,25250
32556,삼육주유소,12645.334,3720.914,178345.3614,427728.03588,224000014,25254
32557,시흥푸르지오6차,12645.672,3720.903,178844.13644,427706.64902,224000015,25258
32560,시흥푸르지오6차1단지후문,12645.756,3721.069,178969.40296,428013.48404,224000016,25261
32562,거무개삼거리,12646.34,3721.416,179833.79241,428653.63005,224000017,25299
32563,거무개삼거리,12646.367,3721.425,179873.01641,428669.2219,224000018,25301
32564,시흥푸르지오6차1단지후문,12645.764,3721.093,178981.28797,428058.46164,224000019,25262
33621,시흥푸르지오6차,12645.676,3720.892,178849.72824,427685.70135,224000020,25257
33751,군서초등학교,12645.219,3720.75,178174.73566,427424.66823,224000021,25249
33756,경기스마트고등학교,12645.133,3720.66,178046.84734,427258.96893,224000022,25244
33766,정왕역,12644.494,3721.067,177106.22312,428013.73791,224000023,25198
33769,정왕사회복지관.여성비전센터,12644.488,3720.839,177096.25422,427593.39551,224000024,25196
33770,신현역,12647.276,3724.484,181224.04273,434329.04992,224000025,25376
33771,배곧단독주택,12643.728,3722.624,175982.15402,430898.1561,224000026,25351
33773,신현역,12647.28,3724.494,181228.04249,434342.04987,224000027,25377
33776,매화동,12649.059,3725.055,183860.93323,435375.96776,224000028,25529
33777,에이스아파트,12649.413,3724.573,184381.65452,434482.92487,224000029,25536
33784,도창초교,12649.592,3724.341,184645.54499,434053.94174,224000030,25545
34262,금이사거리,12650.045,3724.345,185304.01379,434061.11702,224000031,25567
34264,방죽머리,12650.488,3724.322,185964.00919,434013.12792,224000032,25594
34266,칠리저수지,12650.763,3724.28,186373.39629,433938.32848,224000033,25598
34270,목감동,12652.033,3723.159,188244.36532,431860.20528,224000034,25628
34281,칠리저수지,12650.78,3724.206,186397.16301,433800.60268,224000035,25599
34294,방죽머리,12650.511,3724.311,186001.21575,433995.70191,224000036,25596
34424,금이사거리,12650.015,3724.329,185269.0025,434030.06708,224000037,25652
20603,도창초교,12649.574,3724.345,184617.97234,434061.66848,224000038,25544
20597,에이스아파트,12649.396,3724.573,184356.16196,434482.81889,224000039,25538
21253,매화동,12649.057,3725.031,183858.62578,435331.09922,224000040,25528
21254,물왕교,12649.85,3723.11,185021.45414,431775.43231,224000041,25550
21273,월미,12649.777,3723.207,184914.04113,431955.02892,224000042,25547
21408,무재비농원,12649.885,3723.427,185068.04278,432360.12718,224000043,25552
21412,금이2동,12650.238,3723.576,185579.03459,432614.13323,224000044,25578
21417,금이1동,12650.172,3723.851,185499.43283,433145.74491,224000045,25573
21418,금이2동,12650.254,3723.579,185593.0347,432600.13357,224000046,25579
21420,무재비농원,12649.918,3723.44,185123.79319,432385.47328,224000047,25554
21421,월미,12649.782,3723.195,184921.93624,431932.37968,224000048,25548
21422,물왕교,12649.85,3723.121,185022.3738,431796.5922,224000049,25549
21423,목감중심상업지구,12651.173,3722.71,186972.99827,431031.88184,224000050,25602
21424,조남초.조남중,12651.599,3722.679,187601.54428,430974.01406,224000051,25601
21427,능골마을,12650.519,3722.859,186008.14963,431310.20031,224000052,25597
19252,목감푸르지오.중흥S클래스,12650.517,3722.541,186004.31149,430721.90928,224000054,25411
19253,물왕주유소,12649.771,3722.986,184904.79055,431546.14955,224000055,25546
19256,월미동,12649.511,3723.079,184520.75506,431719.88811,224000056,25543
19278,나분들,12649.252,3723.098,184138.96002,431754.43489,224000057,25534
19280,연성초등학교,12649.164,3723.254,184010.20177,432043.53011,224000058,25533
19281,시흥고교.태평아파트,12648.879,3723.439,183589.18341,432386.26496,224000059,25511
19282,갯골생태공원입구.동양덱스빌,12646.794,3722.865,180510.4238,431332.57468,224000060,25317
19285,월동지구,12646.057,3722.94,179421.76252,431473.4714,224000061,25285
19426,상곡마을.월곶동입구,12645.755,3722.974,178977.15784,431538.03402,224000062,25265
31420,풍림3단지정문,12644.593,3723.213,177245.11241,431983.00606,224000063,25214
35287,풍림1단지정문,12644.336,3723.411,176884.86047,432350.55463,224000064,25184
35288,월동지구,12646.079,3722.956,179454.42257,431502.41868,224000065,25293
35289,갯골생태공원입구.동양덱스빌,12646.808,3722.862,180530.17369,431326.21111,224000066,25318
35290,연성초등학교,12649.146,3723.296,183983.11926,432121.67729,224000067,25532
35294,나분들,12649.261,3723.106,184152.90359,431770.66074,224000068,25535
35303,월미동,12649.515,3723.101,184527.88064,431759.69074,224000069,25542
35951,목감푸르지오.중흥S클래스,12650.527,3722.541,186019.47447,430721.70181,224000070,25581
35956,까치주유소삼거리,12646.443,3726.194,180006.86135,437490.29679,224000071,25667
35965,능골마을,12650.544,3722.862,186045.86048,431314.9941,224000072,25595
35968,목감중심상업지구,12651.14,3722.72,186924.91146,431050.16685,224000074,25603
35972,대안주유소,12651.257,3724.012,187101.27501,433441.02048,224000075,25604
35975,대안주유소,12651.279,3724.015,187132.93309,433447.02512,224000076,25605
28550,한국지도자아카데미,12652.129,3723.943,188387.03491,433310.31561,224000077,25631
28551,율포마을,12652.035,3723.609,188248.26142,432694.03643,224000078,25629
28558,목감사거리.청도아파트,12651.632,3723.213,187652.34316,431961.46885,224000080,25616
28559,목감도서관.대명아파트,12651.602,3723.088,187607.26266,431730.23601,224000081,25615
28565,남왕마을,12651.53,3722.955,187500.91384,431485.27504,224000082,25612
35618,목감지하차도입구,12651.741,3722.929,187812.51109,431437.12186,224000083,25623
35625,풍림2단지.소래포구입구,12644.297,3723.615,176827.27011,432729.1122,224000084,25178
35626,월곶신도시입구,12644.833,3723.344,177617.47535,432224.77333,224000085,25230
35628,상곡마을.월곶동입구,12645.699,3723.03,178894.87568,431640.4111,224000086,25259
35630,남왕마을,12651.51,3722.95,187471.35309,431475.25846,224000087,25610
35632,영남1단지.고합아파트,12643.621,3721.534,175819.17305,428886.00892,224000088,25098
27514,영남4차.아주아파트,12644.161,3721.133,176615.00065,428137.48515,224000089,25155
27517,소방서.군서고.여성비전센터,12644.43,3720.973,177010.89669,427840.96113,224000090,25192
39030,군서미래국제학교,12644.631,3720.85,177306.99363,427611.96594,224000091,25217
39032,수자원공사입구,12645.284,3720.446,178269.42677,426862.74341,224000092,25252
38549,월곶역,12644.519,3723.495,177155.06881,432504.88033,224000093,25204
38552,마린월드,12644.486,3723.255,177104.29304,432062.10351,224000094,25200
38697,월곶동주민센터.월곶포구,12644.363,3723.302,176924.14383,432149.36103,224000095,25187
38698,풍림아파트상가,12644.166,3723.38,176633.27875,432295.22485,224000096,25164
38704,풍림아파트,12644.181,3723.517,176655.50626,432547.25048,224000097,25165
38705,소래포구입구,12644.437,3723.585,177033.90433,432671.7417,224000098,25191
38707,월곶입구,12644.872,3723.386,177671.10391,432300.0102,224000099,25234
38708,구능뿌리,12645.279,3723.332,178276.10339,432200.78262,224000100,25246
