노선,시·종점,시간,승차,주중 평균배차시간,노선운행시간,시간별 포화도,왕복운행대수,증차운행대수,증차대수,증차후배차시간,증차후예상포화도,포화도감소율
  125,홈플러스-본오교회앞,18시~19시,842,17.5,97,190.0,11.09,14.42,3.33,13.45,145.98,44.02000000000001
  20-1,정왕역환승센터-부곡중학교,07시~08시,742,15.0,78,178.0,10.4,13.52,3.119999999999999,11.54,137.2,40.80000000000001
  125,홈플러스-본오교회앞,07시~08시,735,17.5,97,166.0,11.09,14.42,3.33,13.45,127.43,38.56999999999999
  125,홈플러스-본오교회앞,17시~18시,738,17.5,97,166.0,11.09,14.42,3.33,13.45,127.95,38.05
  39,매화초등학교-개봉역,08시~09시,375,20.5,45,160.0,5.85,7.6,1.75,15.79,123.36,36.64
  23,월곶역-본오동차고지,18시~19시,993,12.5,99,157.0,15.84,20.59,4.75,9.62,120.57,36.43000000000001
  125,홈플러스-본오교회앞,08시~09시,697,17.5,97,157.0,11.09,14.42,3.33,13.45,120.84,36.16
  12,삼미시장-김포공항국내선(9번홈),07시~08시,551,15.0,67,154.0,8.93,11.61,2.6799999999999997,11.54,118.65,35.349999999999994
  39,매화초등학교-개봉역,07시~08시,361,20.5,45,154.0,5.85,7.6,1.75,15.79,118.75,35.25
  125,홈플러스-본오교회앞,19시~20시,649,17.5,97,146.0,11.09,14.42,3.33,13.45,112.52,33.480000000000004
  20-1,정왕역환승센터-부곡중학교,17시~18시,593,15.0,78,143.0,10.4,13.52,3.119999999999999,11.54,109.65,33.349999999999994
  39,매화초등학교-개봉역,18시~19시,328,20.5,45,140.0,5.85,7.6,1.75,15.79,107.89,32.11
  125,홈플러스-본오교회앞,20시~21시,618,17.5,97,139.0,11.09,14.42,3.33,13.45,107.14,31.86
  11,광명돔경륜장.광남문-안양역,07시~08시,216,32.5,65,135.0,4.0,5.2,1.2000000000000002,25.0,103.85,31.150000000000006
  20-1,정왕역환승센터-부곡중학교,08시~09시,553,15.0,78,133.0,10.4,13.52,3.119999999999999,11.54,102.26,30.739999999999995
  20-1,정왕역환승센터-부곡중학교,18시~19시,552,15.0,78,133.0,10.4,13.52,3.119999999999999,11.54,102.07,30.930000000000007
  23,월곶역-본오동차고지,08시~09시,804,12.5,99,127.0,15.84,20.59,4.75,9.62,97.62,29.379999999999995
  12,삼미시장-김포공항국내선(9번홈),08시~09시,451,15.0,67,126.0,8.93,11.61,2.6799999999999997,11.54,97.11,28.89
  22,자원재생공사-삼천리마을앞,18시~19시,551,17.5,97,124.0,11.09,14.42,3.33,13.45,95.53,28.47
  62,본오동종점-한라비발디1차,18시~19시,1273,8.0,108,118.0,27.0,35.1,8.100000000000001,6.15,90.67,27.33
  125,홈플러스-본오교회앞,14시~15시,519,17.5,97,117.0,11.09,14.42,3.33,13.45,89.98,27.019999999999996
  125,홈플러스-본오교회앞,21시~22시,514,17.5,97,116.0,11.09,14.28,3.1899999999999995,13.59,89.99,26.010000000000005
  66,부인초교-용못내공원.옥길동종점,18시~19시,560,12.0,74,114.0,12.33,15.56,3.2300000000000004,9.51,89.97,24.03
  20-1,정왕역환승센터-부곡중학교,06시~07시,473,15.0,78,114.0,10.4,13.14,2.74,11.87,89.99,24.010000000000005
  1(광명),거모동-개봉역,07시~08시,1146,8.5,108,113.0,25.41,31.83,6.419999999999998,6.79,90.01,22.989999999999995
  66,부인초교-용못내공원.옥길동종점,08시~09시,557,12.0,74,113.0,12.33,15.47,3.1400000000000006,9.57,90.01,22.989999999999995
  2(광명),스타필드시티부천-안양역,08시~09시,997,8.0,90,111.0,22.5,27.69,5.190000000000001,6.5,90.01,20.989999999999995
  39,매화초등학교-개봉역,17시~18시,259,20.5,45,111.0,5.85,7.19,1.3400000000000007,16.69,90.06,20.939999999999998
  11,광명돔경륜장.광남문-안양역,19시~20시,177,32.5,65,111.0,4.0,4.92,0.9199999999999999,26.42,89.94,21.060000000000002
  23,월곶역-본오동차고지,07시~08시,695,12.5,99,110.0,15.84,19.31,3.469999999999999,10.25,89.98,20.019999999999996
  1(광명),거모동-개봉역,18시~19시,1104,8.5,108,109.0,25.41,30.67,5.260000000000002,7.04,89.99,19.010000000000005
  20,경원여객-시흥시청후문.종합일자리센터,18시~19시,74,70.0,40,108.0,1.71,2.06,0.3500000000000001,58.25,89.81,18.189999999999998
  98,오이도차고지-수변공원휴게소,08시~09시,321,27.5,104,106.0,7.56,8.92,1.3600000000000003,23.32,89.97,16.03
  39,매화초등학교-개봉역,06시~07시,248,20.5,45,106.0,5.85,6.89,1.04,17.42,89.99,16.010000000000005
  5602,이마트-구로디지털단지역환승센터(1번승강장),07시~08시,680,11.5,92,106.0,16.0,18.89,2.8900000000000006,9.74,89.99,16.010000000000005
  23,월곶역-본오동차고지,17시~18시,664,12.5,99,105.0,15.84,18.44,2.6000000000000014,10.74,90.02,14.980000000000004
  2(광명),스타필드시티부천-안양역,07시~08시,949,8.0,90,105.0,22.5,26.36,3.8599999999999994,6.83,90.0,15.0
  22,자원재생공사-삼천리마을앞,08시~09시,465,17.5,97,105.0,11.09,12.92,1.83,15.02,89.98,15.019999999999996
  5602,이마트-구로디지털단지역환승센터(1번승강장),18시~19시,667,11.5,92,104.0,16.0,18.53,2.530000000000001,9.93,89.99,14.010000000000005
