노선,시간,주중 평균배차시간,노선운행시간,시간별 포화도,왕복운행대수,증차운행대수,증차대수,증차후배차시간,증차후예상포화도,감차대상시간,감차대상포화도,감차운행대수,감차후배차시간,감차후예상포화도
  1(광명),16시~17시,8.5,108,100.0,25.41,28.14,2.7300000000000004,7.68,90.0,09시~10시,62.0,22.68,9.52,69.89
  1(광명),17시~18시,8.5,108,100.0,25.41,28.19,2.780000000000001,7.66,90.01,11시~12시,57.99999999999999,22.63,9.54,65.29
  1(광명),18시~19시,8.5,108,103.0,25.41,29.14,3.7300000000000004,7.41,90.0,10시~11시,55.00000000000001,21.68,9.96,64.23
  1(광명),07시~08시,8.5,108,106.0,25.41,29.81,4.399999999999999,7.25,89.99,20시~21시,54.0,21.01,10.28,65.8
  12,18시~19시,15.0,67,100.0,8.93,9.97,1.040000000000001,13.44,90.02,20시~21시,56.99999999999999,7.889999999999999,16.98,64.01
  12,08시~09시,15.0,67,115.0,8.93,11.44,2.51,11.71,90.03,09시~10시,54.0,6.42,20.87,75.55
  12,17시~18시,15.0,67,125.0,8.93,11.61,2.6799999999999997,11.54,96.25,10시~11시,48.0,6.25,21.44,68.4
  12,07시~08시,15.0,67,140.0,8.93,11.61,2.6799999999999997,11.54,107.67,11시~12시,46.0,6.25,21.44,65.6
  125,10시~11시,17.5,97,113.0,11.09,13.94,2.8499999999999996,13.92,90.03,대상 없음,0.0,0.0,0.0,0.0
  125,06시~07시,17.5,97,116.0,11.09,14.33,3.24,13.54,90.02,대상 없음,0.0,0.0,0.0,0.0
  125,09시~10시,17.5,97,116.0,11.09,14.25,3.16,13.61,90.0,대상 없음,0.0,0.0,0.0,0.0
  125,11시~12시,17.5,97,123.0,11.09,14.42,3.33,13.45,94.83,대상 없음,0.0,0.0,0.0,0.0
  125,20시~21시,17.5,97,129.0,11.09,14.42,3.33,13.45,98.82,대상 없음,0.0,0.0,0.0,0.0
  125,18시~19시,17.5,97,193.0,11.09,14.42,3.33,13.45,148.06,10시~11시,113.0,7.76,25.0,161.73
  125,15시~16시,17.5,97,185.0,11.09,14.42,3.33,13.45,142.51,09시~10시,116.0,7.76,25.0,165.27
  125,16시~17시,17.5,97,180.0,11.09,14.42,3.33,13.45,138.7,11시~12시,123.0,7.76,25.0,176.22
  125,07시~08시,17.5,97,145.0,11.09,14.42,3.33,13.45,111.48,대상 없음,0.0,0.0,0.0,0.0
  125,17시~18시,17.5,97,168.0,11.09,14.42,3.33,13.45,129.16,07시~08시,145.0,7.76,25.0,207.15
  125,19시~20시,17.5,97,148.0,11.09,14.42,3.33,13.45,114.08,08시~09시,164.0,7.76,25.0,234.86
  125,12시~13시,17.5,97,151.0,11.09,14.42,3.33,13.45,115.81,21시~22시,162.0,7.76,25.0,231.96
  125,08시~09시,17.5,97,164.0,11.09,14.42,3.33,13.45,126.39,19시~20시,148.0,7.76,25.0,211.98
  125,14시~15시,17.5,97,171.0,11.09,14.42,3.33,13.45,131.59,20시~21시,129.0,7.76,25.0,183.63
  125,13시~14시,17.5,97,153.0,11.09,14.42,3.33,13.45,117.37,13시~14시,153.0,7.76,25.0,218.11
  125,21시~22시,17.5,97,162.0,11.09,14.42,3.33,13.45,124.83,12시~13시,151.0,7.76,25.0,215.21
  2(광명),08시~09시,8.0,90,101.0,22.5,25.19,2.6900000000000013,7.15,90.02,20시~21시,53.0,19.81,9.09,60.32
  20-1,06시~07시,15.0,78,106.0,10.4,12.28,1.879999999999999,12.7,89.98,12시~13시,51.0,8.520000000000001,18.31,62.5
  20-1,16시~17시,15.0,78,112.0,10.4,12.94,2.539999999999999,12.06,90.03,11시~12시,44.0,7.860000000000001,19.85,58.21
