지역,노선,시·종점,월,일시,시간,승차,하차,전체,주중 평균배차시간,노선운행시간,시간별 포화도
시흥시, 23,월곶역-본오동차고지,5,평일,13시~14시,705,691,1396,12.5,99,111.00000000000001
시흥시, 23,월곶역-본오동차고지,5,평일,16시~17시,677,622,1299,12.5,99,107.0
시흥시, 23,월곶역-본오동차고지,5,평일,18시~19시,674,723,1397,12.5,99,106.0
시흥시, 23,월곶역-본오동차고지,5,평일,17시~18시,672,672,1344,12.5,99,106.0
시흥시, 23,월곶역-본오동차고지,5,평일,12시~13시,660,654,1314,12.5,99,104.0
시흥시, 23,월곶역-본오동차고지,5,평일,14시~15시,633,604,1237,12.5,99,100.0
시흥시, 23,월곶역-본오동차고지,5,평일,11시~12시,629,583,1212,12.5,99,99.0
부천시, 23-2,소사공영차고지-라일락마을어린이공원,5,평일,13시~14시,560,505,1065,8.5,69,86.0
시흥시, 23,월곶역-본오동차고지,5,평일,15시~16시,548,572,1120,12.5,99,86.0
부천시, 23-2,소사공영차고지-라일락마을어린이공원,5,평일,16시~17시,545,553,1098,8.5,69,84.0
안산시, 62,본오동종점-한라비발디1차,5,평일,18시~19시,898,896,1794,8.0,108,83.0
부천시, 23-2,소사공영차고지-라일락마을어린이공원,5,평일,14시~15시,534,550,1084,8.5,69,82.0
시흥시, 63,오이도차고지-은계초등학교.사랑스러운교회,5,평일,17시~18시,338,314,652,15.0,78,81.0
안산시, 20,경원여객-시흥시청후문.종합일자리센터,5,평일,17시~18시,55,40,95,70.0,40,80.0
시흥시, 63,오이도차고지-은계초등학교.사랑스러운교회,5,평일,19시~20시,332,328,660,15.0,78,80.0
시흥시, 12,삼미시장-김포공항국내선(9번홈),5,평일,17시~18시,277,235,512,15.0,67,78.0
시흥시, 63,오이도차고지-은계초등학교.사랑스러운교회,5,평일,16시~17시,323,342,665,15.0,78,78.0
시흥시, 63,오이도차고지-은계초등학교.사랑스러운교회,5,평일,18시~19시,324,362,686,15.0,78,78.0
안산시, 62,본오동종점-한라비발디1차,5,평일,17시~18시,845,821,1666,8.0,108,78.0
광명시, 2(광명),은계아란트리-안양역,5,평일,16시~17시,701,674,1375,8.0,90,78.0
부천시, 23-2,소사공영차고지-라일락마을어린이공원,5,평일,15시~16시,500,489,989,8.5,69,77.0
시흥시, 23,월곶역-본오동차고지,5,평일,19시~20시,486,516,1002,12.5,99,77.0
부천시, 23-2,소사공영차고지-라일락마을어린이공원,5,평일,18시~19시,503,483,986,8.5,69,77.0
시흥시, 23,월곶역-본오동차고지,5,평일,09시~10시,480,444,924,12.5,99,76.0
안산시, 62,본오동종점-한라비발디1차,5,평일,15시~16시,824,736,1560,8.0,108,76.0
안산시, 123,푸르지오6차후문-탄도,5,평일,17시~18시,268,234,502,25.0,110,76.0
부천시, 23-2,소사공영차고지-라일락마을어린이공원,5,평일,17시~18시,487,490,977,8.5,69,75.0
안산시, 50,안산해솔초등학교-KTX광명역1번출구,5,평일,15시~16시,64,59,123,60.0,65,74.0
시흥시, 63,오이도차고지-은계초등학교.사랑스러운교회,5,평일,15시~16시,302,280,582,15.0,78,73.0
시흥시, 12,삼미시장-김포공항국내선(9번홈),5,평일,18시~19시,262,284,546,15.0,67,73.0
부천시, 66,부인초교-용못내공원.옥길동종점,5,평일,15시~16시,358,344,702,12.0,74,73.0
부천시, 66,부인초교-용못내공원.옥길동종점,5,평일,17시~18시,360,354,714,12.0,74,73.0
시흥시, 23,월곶역-본오동차고지,5,평일,10시~11시,448,410,858,12.5,99,71.0
시흥시, 20-1,정왕역환승센터-부곡중학교,5,평일,17시~18시,295,241,536,15.0,78,71.0
