지역,노선,시·종점,월,일시,시간,승차,하차,전체,주중 평균배차시간,노선운행시간,시간별 포화도
시흥시, 20-1,정왕역환승센터-부곡중학교,4,평일,07시~08시,761,706,1467,15.0,78,183.0
시흥시, 23,월곶역-본오동차고지,4,평일,18시~19시,1072,"1,005",2077,12.5,99,169.0
광명시, 39,매화초등학교-개봉역,4,평일,07시~08시,386,298,684,20.5,45,165.0
광명시, 11,광명돔경륜장.광남문-안양역,4,평일,08시~09시,262,274,536,32.5,65,164.0
시흥시, 12,삼미시장-김포공항국내선(9번홈),4,평일,08시~09시,585,630,1215,15.0,67,164.0
광명시, 2(광명),스타필드시티부천-안양역,4,평일,08시~09시,1409,"1,515",2924,8.0,90,157.0
시흥시, 23,월곶역-본오동차고지,4,평일,08시~09시,993,"1,120",2113,12.5,99,157.0
광명시, 1(광명),거모동-개봉역,4,평일,07시~08시,1533,"1,209",2742,8.5,108,151.0
시흥시, 23,월곶역-본오동차고지,4,평일,07시~08시,944,788,1732,12.5,99,149.0
안산시, 62,본오동종점-한라비발디1차,4,평일,18시~19시,1585,"1,557",3142,8.0,108,147.0
안산시, 62,본오동종점-한라비발디1차,4,평일,17시~18시,1577,"1,581",3158,8.0,108,146.0
시흥시, 20-1,정왕역환승센터-부곡중학교,4,평일,08시~09시,608,825,1433,15.0,78,146.0
부천시, 66,부인초교-용못내공원.옥길동종점,4,평일,18시~19시,718,705,1423,12.0,74,146.0
시흥시, 12,삼미시장-김포공항국내선(9번홈),4,평일,07시~08시,515,445,960,15.0,67,144.0
안산시, 62,본오동종점-한라비발디1차,4,평일,08시~09시,1551,"1,642",3193,8.0,108,144.0
시흥시, 20-1,정왕역환승센터-부곡중학교,4,평일,17시~18시,594,393,987,15.0,78,143.0
시흥시, 20-1,정왕역환승센터-부곡중학교,4,평일,18시~19시,591,746,1337,15.0,78,142.0
시흥시, 23,월곶역-본오동차고지,4,평일,17시~18시,895,867,1762,12.5,99,141.0
광명시, 1(광명),거모동-개봉역,4,평일,18시~19시,1371,"1,365",2736,8.5,108,135.0
시흥시, 5602,이마트-구로디지털단지역환승센터(1번승강장),4,평일,18시~19시,849,792,1641,11.5,92,133.0
부천시, 66,부인초교-용못내공원.옥길동종점,4,평일,08시~09시,653,718,1371,12.0,74,132.0
부천시, 23-2,소사공영차고지-라일락마을어린이공원,4,평일,08시~09시,851,927,1778,8.5,69,131.0
광명시, 39,매화초등학교-개봉역,4,평일,08시~09시,299,401,700,20.5,45,128.0
안산시, 76,본오교회앞-동보아파트후문.군자교회,4,평일,07시~08시,96,81,177,90.0,86,126.0
안산시, 50,안산해솔초등학교-KTX광명역1번출구,4,평일,07시~08시,108,90,198,60.0,65,125.0
광명시, 1(광명),거모동-개봉역,4,평일,08시~09시,1271,"1,578",2849,8.5,108,125.0
광명시, 39,매화초등학교-개봉역,4,평일,18시~19시,289,336,625,20.5,45,123.0
시흥시, 5602,이마트-구로디지털단지역환승센터(1번승강장),4,평일,07시~08시,780,536,1316,11.5,92,122.0
부천시, 23-2,소사공영차고지-라일락마을어린이공원,4,평일,18시~19시,789,808,1597,8.5,69,121.0
시흥시, 12,삼미시장-김포공항국내선(9번홈),4,평일,18시~19시,428,409,837,15.0,67,120.0
광명시, 1(광명),거모동-개봉역,4,평일,17시~18시,1212,"1,123",2335,8.5,108,119.0
시흥시, 23,월곶역-본오동차고지,4,평일,16시~17시,757,722,1479,12.5,99,119.0
광명시, 2(광명),스타필드시티부천-안양역,4,평일,07시~08시,1073,863,1936,8.0,90,119.0
안양시, 81,목감호수품애.중흥S클래스-안양역,4,평일,07시~08시,437,333,770,13.0,39,118.0
시흥시, 5602,이마트-구로디지털단지역환승센터(1번승강장),4,평일,08시~09시,754,952,1706,11.5,92,118.0
시흥시, 20-1,정왕역환승센터-부곡중학교,4,평일,19시~20시,483,501,984,15.0,78,115.99999999999999
광명시, 11-3,마린월드-KTX광명역1번출구,4,평일,07시~08시,154,111,265,37.5,63,114.99999999999999
광명시, 2(광명),스타필드시티부천-안양역,4,평일,18시~19시,1038,"1,041",2079,8.0,90,114.99999999999999
광명시, 39,매화초등학교-개봉역,4,평일,17시~18시,266,173,439,20.5,45,113.99999999999999
